"Front","Back","Tags"
"<b>Bij serie schakeling is de stroom:</b><br><br><b>A:</b> Overal gelijk<br><b>B:</b> Verschillend per weerstand<br><b>C:</b> Nul<br><b>D:</b> Afhankelijk van spanning<br>","<b>✅ CORRECT ANTWOORD: Overal gelijk</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Zie relevante sectie<br>
<b>📖 Holmes:</b> Zie cursusmateriaal<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
Het juiste antwoord is: <b>Overal gelijk</b><br><br>
Dit volgt uit de theorie en formules die je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>Verschillend per weerstand</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>Nul</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>Afhankelijk van spanning</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br>","type::begrip;prioriteit::hoog"
"<b>Bij parallel schakeling is de spanning:</b><br><br><b>A:</b> Overal gelijk<br><b>B:</b> Verschillend per tak<br><b>C:</b> Nul<br><b>D:</b> Som van alle spanningen<br>","<b>✅ CORRECT ANTWOORD: Overal gelijk</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Zie relevante sectie<br>
<b>📖 Holmes:</b> Zie cursusmateriaal<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
Het juiste antwoord is: <b>Overal gelijk</b><br><br>
Dit volgt uit de theorie en formules die je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>Verschillend per tak</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>Nul</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>Som van alle spanningen</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br>","type::begrip;prioriteit::hoog"
"<b>Bij een weerstand wordt elektrische energie omgezet in:</b><br><br><b>A:</b> Warmte<br><b>B:</b> Licht<br><b>C:</b> Magnetisch veld<br><b>D:</b> Elektrisch veld<br>","<b>✅ CORRECT ANTWOORD: Warmte</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 10 - Energie<br>
<b>📖 Holmes:</b> Hoofdstuk 1 §1.9<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( E = P \cdot t \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: Licht</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: Magnetisch veld</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Elektrisch veld</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::begrip;prioriteit::hoog"
"<b>Een condensator slaat energie op in:</b><br><br><b>A:</b> Elektrisch veld<br><b>B:</b> Magnetisch veld<br><b>C:</b> Warmte<br><b>D:</b> Licht<br>","<b>✅ CORRECT ANTWOORD: Elektrisch veld</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 10 - Energie<br>
<b>📖 Holmes:</b> Hoofdstuk 1 §1.9<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( E = P \cdot t \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: Magnetisch veld</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: Warmte</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Licht</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","topic::condensator;type::begrip;prioriteit::hoog"
"<b>Een spoel slaat energie op in:</b><br><br><b>A:</b> Magnetisch veld<br><b>B:</b> Elektrisch veld<br><b>C:</b> Warmte<br><b>D:</b> Licht<br>","<b>✅ CORRECT ANTWOORD: Magnetisch veld</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 10 - Energie<br>
<b>📖 Holmes:</b> Hoofdstuk 1 §1.9<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( E = P \cdot t \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: Elektrisch veld</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: Warmte</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Licht</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","topic::spoel;type::begrip;prioriteit::hoog"
"<b>Spanningsdeling gebruik je bij:</b><br><br><b>A:</b> Serie weerstanden<br><b>B:</b> Parallel weerstanden<br><b>C:</b> Alleen condensatoren<br><b>D:</b> Alleen spoelen<br>","<b>✅ CORRECT ANTWOORD: Serie weerstanden</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Zie relevante sectie<br>
<b>📖 Holmes:</b> Zie cursusmateriaal<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
Het juiste antwoord is: <b>Serie weerstanden</b><br><br>
Dit volgt uit de theorie en formules die je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>Parallel weerstanden</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>Alleen condensatoren</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>Alleen spoelen</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br>","topic::condensator;topic::spoel;type::begrip;prioriteit::hoog"
"<b>Stroomdeling gebruik je bij:</b><br><br><b>A:</b> Parallel weerstanden<br><b>B:</b> Serie weerstanden<br><b>C:</b> Alleen condensatoren<br><b>D:</b> Alleen spoelen<br>","<b>✅ CORRECT ANTWOORD: Parallel weerstanden</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Zie relevante sectie<br>
<b>📖 Holmes:</b> Zie cursusmateriaal<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
Het juiste antwoord is: <b>Parallel weerstanden</b><br><br>
Dit volgt uit de theorie en formules die je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>Serie weerstanden</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>Alleen condensatoren</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>Alleen spoelen</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br>","topic::condensator;topic::spoel;type::begrip;prioriteit::hoog"
"<b>Bij een kortsluiting is de weerstand:</b><br><br><b>A:</b> 0 Ω (nul)<br><b>B:</b> ∞ (oneindig)<br><b>C:</b> 1 Ω<br><b>D:</b> 100 Ω<br>","<b>✅ CORRECT ANTWOORD: 0 Ω (nul)</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 4 - Hoekfrequentie<br>
<b>📖 Holmes:</b> Hoofdstuk 7 §7.3<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( \omega = 2\pi f \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: ∞ (oneindig)</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: 1 Ω</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: 100 Ω</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::begrip;prioriteit::hoog"
"<b>Bij een open klem is de weerstand:</b><br><br><b>A:</b> ∞ (oneindig)<br><b>B:</b> 0 Ω (nul)<br><b>C:</b> 1 Ω<br><b>D:</b> 100 Ω<br>","<b>✅ CORRECT ANTWOORD: ∞ (oneindig)</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Zie relevante sectie<br>
<b>📖 Holmes:</b> Zie cursusmateriaal<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
Het juiste antwoord is: <b>∞ (oneindig)</b><br><br>
Dit volgt uit de theorie en formules die je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>0 Ω (nul)</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>1 Ω</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br><b>100 Ω</b><br>→ Dit antwoord is niet correct volgens de theorie<br><br>","type::begrip;prioriteit::hoog"
"<b>De effectieve waarde (RMS) van een sinusgolf is:</b><br><br><b>A:</b> U_top / √2<br><b>B:</b> U_top / 2<br><b>C:</b> U_top × √2<br><b>D:</b> 2 × U_top<br>","<b>✅ CORRECT ANTWOORD: U_top / √2</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 5 - Effectieve waarde<br>
<b>📖 Holmes:</b> Hoofdstuk 7 §7.2<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( U_{eff} = \frac{U_{top}}{\sqrt{2}} \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: U_top / 2</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: U_top × √2</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: 2 × U_top</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::begrip;prioriteit::hoog"
